"","S1R","H4","CAA.Jc","melanophore"
"MEantiquewhite2",0.328859988645986,-0.850567608989998,-0.302452196962054,-0.340582953646017
"MEantiquewhite4",-0.349246038869284,-0.805459542183865,0.207004044751127,-0.327509794553548
"MEcoral4",0.854351984381447,-0.0528999558491066,-0.750681123234289,0.182508796502408
"MEcornflowerblue",0.507190841139533,-0.420694839029421,-0.761066959120249,-0.261390747845704
"MEcyan",-0.79700908089592,0.278847998866669,0.785190519076552,0.157917594174132
"MEdarkgoldenrod4",-0.751974198206313,0.188199587584459,0.541941657022397,-0.0470507603226209
"MEdarkred",-0.425336667467987,0.78476491996286,0.471289204976654,0.340215050661244
"MEfirebrick2",-0.191244228198503,-0.811634695061066,-0.0375546662146563,-0.429982053182579
"MEfirebrick3",0.795246932521633,-0.394576504020921,-0.690505669676168,-0.0926729183550369
"MEhoneydew",-0.679277855050602,0.442927077116206,0.777264869807242,0.217970168902
"MElightpink",0.362762901211652,-0.76141450686067,-0.565338853451914,-0.343577090512152
"MEmediumpurple2",-0.75117691361261,-0.22953051351555,0.670031813646455,-0.0601426702676253
"MEorangered1",0.207432567049289,-0.783770226493798,-0.421173425549412,-0.498089065773088
"MEpurple",0.401239426128148,-0.759577112332454,-0.508099818706722,-0.340004225994633
"MEsaddlebrown",-0.910031523377103,0.135615247522534,0.774260041176576,0.121401281606674
"MEskyblue2",-0.842965113985476,0.111630410785096,0.788935457243795,-0.0107298598251566
