"","S1R","H4","CAA.Jc","melanophore"
"MEantiquewhite2",0.213614709663524,2.9770365291039e-05,0.254872511777869,0.196762123204749
"MEantiquewhite4",0.184880099233157,0.00016616118720361,0.441751623777084,0.215613197382915
"MEcoral4",2.51412747862759e-05,0.845729308339703,0.000805854669168685,0.498701797416877
"MEcornflowerblue",0.0449338261469634,0.104670324510656,0.000616614229207275,0.32812720033548
"MEcyan",0.000218441518892564,0.29563386512271,0.000313818822782798,0.559142479025302
"MEdarkgoldenrod4",0.000779980978904507,0.485170945902281,0.0301206527526858,0.862627028560246
"MEdarkred",0.100499776127235,0.0003178086603192,0.0653628490472723,0.197277448067334
"MEfirebrick2",0.478005100443199,0.00013492335255402,0.890176538172504,0.0964450703418324
"MEfirebrick3",0.00023090091527592,0.130424763074927,0.00306485700874907,0.732834299555166
"MEhoneydew",0.00380300761273803,0.0857608206470618,0.000395303109352478,0.41737896381224
"MElightpink",0.167300231152936,0.000610978574325204,0.0224784632994461,0.192600750106368
"MEmediumpurple2",0.000795852251939743,0.392468764848747,0.00451271559721325,0.82489362184869
"MEorangered1",0.440785872408069,0.00032729733315792,0.104234785172034,0.0495853338544345
"MEpurple",0.123478056225203,0.000641259460120518,0.0444878900495684,0.197573146822534
"MEsaddlebrown",1.00578652207854e-06,0.616524692505625,0.000430435181264508,0.654242082268835
"MEskyblue2",4.1248893038371e-05,0.680638953691736,0.000280463251536673,0.968540672892072
