sample,path,locality,morph,tissue,individual,geneticstr,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5,CAA:Sc,CAA:Jc,CAA:St,CAA:Jt,CAA:Hc,CAA:Qc,CAA:Ht,CAA:Scpl,CAA:C,CAA:PT,CAA:PT Hrz,CAA:PT Vrt,CAA:Asp,VCA:ML,VCA:sL,VCA:CVL,VCA:MDmax,VCA:sDmax,VCA:CVDmax,VCA:MSsat,VCA:sSsat,VCA:CVSsat,VCA:MSL,VCA:sSL,VCA:CVSL,VCA:MS,VCA:sS,VCA:CVS,BSA:BML,BSA:BMDmax,BSA:BMSsat,BSA:BMSL,BSA:BMS,xanthophore,melanophore,iridophore
CAL2S,D:/transcriptomic_analysis/kallistovic/CAL2S,CAL,red,skin,2,0.0001,2849.835111,7.106820727,20.28093662,0.086683486,0.097583633,0.06866525,0.224342735,0.332592249,0.627461282,23.06695046,0.649267426,0.11971846,1750.72213,19.29833799,-0.508552277,2.678952685,0.867463062,0.324426356,636.75,619.5,579.25,0.180366828,580.75,1.469806814,0.367451704,1.753609252,0.292268209,0.602604371,0.434687169,0.716120012,0.329859956,0.01211982,81.50947688,80.29200896,82.76443418,0.492418499,0.26085527,0.0570981,0.218888044,0.204043672,0.063141135,0.309449119,5.840826354,2.038019915,0.34892664,5.200760097,2.170275809,0.417299735,11.69505743,4.789739048,0.409552418,0.203087196,0.196829837,0.215442073,4.170996974,10.28992236,33.794236,114.56251,26.20002687
CAL4S,D:/transcriptomic_analysis/kallistovic/CAL4S,CAL,red,skin,4,0.0184469,3278.970797,8.176984532,23.80963206,0.092665283,0.104399844,0.06376394,0.185997784,0.296102728,0.664494464,24.03358873,0.638347133,0.090050836,2100.918038,22.94540257,-0.517594555,2.807823326,0.909974335,0.254690185,658.5,530.5,585,0.105792625,581.5,1.486168849,0.29723377,4.664480001,0.466448,0.699422845,0.434575848,1.745450854,0.381840885,0.02288023,42.70585374,43.20596917,42.21680565,0.505789811,0.248005176,0.056349802,0.227212203,0.192361639,0.063631515,0.330791083,5.782766839,2.101837315,0.363465686,5.081301286,2.06311311,0.406020622,11.03207047,5.706079497,0.517226527,0.164118349,0.383683549,0.396227139,3.369506263,7.456414698,42.6646,59.025814,21.5512692
CEI1S,D:/transcriptomic_analysis/kallistovic/CEI1S,CEI,aquamarine,skin,1,0.9999,2216.211616,5.526712258,8.027236098,0.171432815,0.199361876,0.259978095,0.315750802,0.225000511,0.260825947,4.024825572,0.27035798,0.058220302,332.3462277,4.527215212,0.506956652,1.032861686,0.182841342,0.049426167,512.75,428,611.25,1.012222904,528,1.43565676,0.71782838,1,1,0.481130467,0.694124539,0,0.85891419,0.007314876,135.7077088,142.1569507,129.8135246,0.522692585,0.292192825,0.098602782,0.337457917,0.127398404,0.044080399,0.346004329,3.556278593,1.14566363,0.322152385,7.928846055,0,0,3.370583478,0,0,0.376900751,0.38875957,0.356012123,7.928846055,3.370583478,27.59177,42.31801,46.3175
CEI2S,D:/transcriptomic_analysis/kallistovic/CEI2S,CEI,aquamarine,skin,2,0.9999,3449.19526,8.601484439,12.41178168,0.170198732,0.206882807,0.357332703,0.285797436,0.189728284,0.194809595,3.501389133,0.348074127,0.086743289,559.6093919,7.179065279,0.338080225,1.004362682,-0.688765982,0.073176934,512,462.6666667,566,2.262530328,394.3333333,1.525154849,0.762577425,1,1,0.528182991,0.762006982,0,0.881288712,0.007957656,124.6651532,129.6061321,120.0809628,0.519074212,0.259289398,0.089390685,0.344752567,0.153731197,0.059583739,0.387583914,3.876101274,1.150955245,0.296936319,7.307181072,0,0,2.661876396,0,0,0.349925673,0.403124434,0.29348802,7.307181072,2.661876396,31.41168,72.57329,25.898287
CEI3S,D:/transcriptomic_analysis/kallistovic/CEI3S,CEI,aquamarine,skin,3,0.9999,3093.19864,7.713712319,10.88063974,0.173792423,0.201822297,0.248499983,0.324658883,0.243106534,0.261078388,2.341602992,0.333018425,0.039059983,488.4904889,5.609577568,0.117237353,0.791949772,0.165626933,0.031235124,535,575,556.5,1.273112384,506,1.903137888,0.634379296,2.631832926,0.877277642,0.801925317,0.72994388,1.025708817,0.755828469,0.014109703,69.87321429,69.54174068,70.20825853,0.497615321,0.257114866,0.087179774,0.339069365,0.195332984,0.032987311,0.168877322,4.56902427,0.744022674,0.162840604,5.663260518,2.312610959,0.408353271,3.632443697,1.402137762,0.38600399,0.194155666,0.079477644,0.077909027,3.982050239,3.06852713,18.29148,84.13655,14.04949
CEI4S,D:/transcriptomic_analysis/kallistovic/CEI4S,CEI,aquamarine,skin,4,0.9999,1751.411788,4.367610443,7.124588963,0.144807246,0.173062283,0.255533288,0.357112608,0.250456714,0.251164197,8.872142098,0.36348935,0.043107329,350.5320828,4.889665885,0.029196389,1.301442766,0.172079324,0.050739705,528.25,566,543.75,1.393345609,499.5,1.470292691,0.735146346,1,1,0.500244506,0.721700268,0,0.867573173,0.008398417,118.0700565,127.5512195,109.8863158,0.537199055,0.270312214,0.084973121,0.314351764,0.188612052,0.03433524,0.182041602,4.395921778,0.780653198,0.17758578,6.895219496,0,0,5.058112847,0,0,0.331721147,0.146370165,0.143093241,6.895219496,5.058112847,35.11118,145.0516,29.22518
CEI5S,D:/transcriptomic_analysis/kallistovic/CEI5S,CEI,aquamarine,skin,5,0.9999,1527.199884,3.808478514,5.646263611,0.18635058,0.219528841,0.258298505,0.308909093,0.222433278,0.254706509,5.309234126,0.291984534,0.038345703,205.2340077,3.523240106,0.195499416,1.015214465,0.168975863,0.036748284,570.5,490.5,561.25,1.302839344,445.5,1.531015375,0.765507688,1,1,0.531013032,0.766089868,0,0.882753844,0.011011867,89.81112277,90.52219873,89.11041667,0.503929637,0.240335299,0.082992303,0.345318825,0.154857782,0.076209278,0.492124303,3.845443436,1.694860396,0.440745112,7.261246236,0,0,4.392111036,0,0,0.347908545,0.539626421,0.468790425,7.261246236,4.392111036,28.1015275,86.0198625,23.87261425
CEI7S,D:/transcriptomic_analysis/kallistovic/CEI7S,CEI,aquamarine,skin,7,0.816363,1201.785155,2.996970462,4.837192267,0.164021372,0.192299835,0.25537402,0.346023861,0.246204115,0.242861307,3.840560253,0.35193421,0.033007169,245.5420346,3.235265944,0.686264018,1.072265718,0.099214769,0.035194249,532.6666667,506,636,1.415528323,501.6666667,1.426973701,0.713486851,1,1,0.476141336,0.686926744,0,0.856743425,0.008905488,111.2903037,108.5045558,114.2230216,0.487162645,0.263678055,0.087628076,0.332329804,0.153650426,0.065888398,0.428820143,3.753771828,1.418817377,0.377971129,7.847365763,0,0,4.146427045,0,0,0.373400111,0.517091105,0.438843028,7.847365763,4.146427045,35.11118,145.0516,29.22518
CEI8S,D:/transcriptomic_analysis/kallistovic/CEI8S,CEI,aquamarine,skin,8,0.665141,2751.136524,6.860689587,9.905373213,0.164590159,0.193097343,0.244919069,0.338073239,0.25005567,0.260776574,2.947082189,0.34390339,0.05753941,464.7915114,5.530743455,0.136965982,0.948342516,0.159610086,0.050939594,544.5,482.75,558.75,1.346867389,496.75,1.510168348,0.503389449,1.078759803,0.359586601,0.531347965,0.483653761,0.183204374,0.431488025,0.00953609,103.8647854,107.1406061,100.7796804,0.515296549,0.269498762,0.072602645,0.269398806,0.157866522,0.06465147,0.40953249,3.901927423,1.353116588,0.346781588,4.092659308,3.630979204,0.887193126,5.293626074,1.753611766,0.331268537,0.312642297,0.522707657,0.422603811,6.47422144,4.954077038,30.27125,105.8737,14.90434
LOM1S,D:/transcriptomic_analysis/kallistovic/LOM1S,LOM,green,skin,1,0.180574,4222.16512,10.52909007,16.39035333,0.28398519,0.334284219,0.319426604,0.234748222,0.163622327,0.169967616,2.717183668,0.286184648,0.127508185,656.1284541,10.54580141,0.317492532,0.961439834,-0.740107259,0.127133272,405.6666667,456,528.6666667,-0.935778334,378.6666667,1.876700849,0.62556695,2.876424351,0.958808117,0.777517305,0.70772675,1.075991983,0.792187533,0.013111647,75.26807105,78.6112069,72.1927042,0.521280956,0.24374172,0.082069422,0.336706502,0.148786128,0.072935196,0.490201587,4.241626761,2.083782764,0.491269714,5.532069228,2.151096608,0.388841231,3.978532099,2.510988207,0.631134334,0.228468757,0.43421134,0.435032009,4.702092244,4.336433535,28.46798,58.81648447,18.88589637
